Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
parthenolide HL60 UP	1/151	0.5214065937603984	0.6684878655297086	0	0	1.371736111111111	0.893309029069844	USP34
hydralazine CTD 00006108	4/776	0.5225265593996874	0.6690293330631512	0	0	1.0658532508774863	0.6918234578993165	GALNT7;ANKIB1;RAD21;FAM120A
MG-262 PC3 DOWN	2/360	0.523511930661555	0.6693972553392417	0	0	1.149367832990297	0.7438656419409667	ANP32A;ZNF22
HG-9-91-01 LINCS	1/153	0.5260729421130615	0.6715673155428928	0	0	1.3535498903508771	0.8694059428139447	DSTYK
Vitinoin CTD 00007069	4/780	0.526609615524771	0.6715673155428928	0	0	1.0601374570446735	0.679861669418401	HIP1;CBX3;WDR61;FBXO9
phenoxybenzamine PC3 UP	1/154	0.5283892019196194	0.6729418919534064	0	0	1.3446350762527233	0.8577724880127446	BRAP
MERCURY CTD 00006274	2/364	0.5294665076887026	0.6734196032804587	0	0	1.1364350101773772	0.7226423953976892	SMIM14;BUB3
pyrithyldione HL60 DOWN	1/155	0.5306942574187079	0.6740871428669416	0	0	1.3358360389610389	0.8463445838597365	TFAM
N-NITROSODIETHYLAMINE CTD 00005817	1/157	0.5352709696661992	0.6773365212519821	0	0	1.3185763888888888	0.8240867393643933	ELF1
dmnq CTD 00002569	1/157	0.5352709696661992	0.6773365212519821	0	0	1.3185763888888888	0.8240867393643933	RECQL
