Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Bosutinib LINCS	1/78	0.31610662709453136	0.507301762880989	0	0	2.6820887445887447	3.0888964184307746	EIF2AK4
Dibenz[a,h]anthracene CTD 00001246	1/78	0.31610662709453136	0.507301762880989	0	0	2.6820887445887447	3.0888964184307746	RECQL
3,4-Dihydro-2-phenyl-2H-1-benzopyran-3,4-diol BOSS	1/78	0.31610662709453136	0.507301762880989	0	0	2.6820887445887447	3.0888964184307746	DCAF7
Retinoic acid CTD 00006918	23/4258	0.3163362400446626	0.507301762880989	0	0	1.1498899135262772	1.323465313389279	MED1;HIP1;ANKIB1;ANP32A;CBX3;FKBP14;HDGFRP3;PLOD2;ZNF22;PRPF40A;SMC3;TTF1;OXR1;TSN;UBE2J1;DYNC1LI2;ELF1;RAD50;SERBP1;PKP4;UTP20;ZKSCAN1;FBXO9
clonidine HL60 UP	1/79	0.3194364910949237	0.5089289013902161	0	0	2.6475694444444446	3.021397779998639	PLOD2
fenbendazole MCF7 DOWN	1/79	0.3194364910949237	0.5089289013902161	0	0	2.6475694444444446	3.021397779998639	SPTLC2
gefitinib HL60 DOWN	1/79	0.3194364910949237	0.5089289013902161	0	0	2.6475694444444446	3.021397779998639	ANP32A
OTSSP167 LINCS	2/237	0.31947361693108456	0.5089289013902161	0	0	1.7619708846584548	2.010550767272269	DSTYK;TLK2
lanatoside C PC3 UP	3/411	0.3214755988648326	0.511268821411898	0	0	1.524953066332916	1.7305680329370925	BRAP;ELF1;RSF1
tanespimycin PC3 UP	1/80	0.3227503083951877	0.5115992491751818	0	0	2.6139240506329116	2.9560247424777546	C8ORF44-SGK3
hesperadin TTD 00008420	1/80	0.3227503083951877	0.5115992491751818	0	0	2.6139240506329116	2.9560247424777546	EIF2AK4
TERT-BUTYL HYDROPEROXIDE CTD 00007349	8/1341	0.3249716359164434	0.5142702951218964	0	0	1.2522231681515885	1.4075205978342844	ELF1;ANP32A;SPTLC2;RECQL;PKP4;OSBPL1A;DCAF7;APPL1
puromycin MCF7 UP	2/242	0.32837031081663115	0.5154101003487934	0	0	1.7248245614035087	1.920787590792804	BRAP;C12ORF4
KIN001-220 LINCS	1/82	0.32933010848037486	0.5154101003487934	0	0	2.549125514403292	2.831300101651328	EIF2AK4
Dasatinib Kinome Scan	1/82	0.32933010848037486	0.5154101003487934	0	0	2.549125514403292	2.831300101651328	NLK
Dasatinib FDA	1/82	0.32933010848037486	0.5154101003487934	0	0	2.549125514403292	2.831300101651328	NLK
Apocarotenal CTD 00000185	1/82	0.32933010848037486	0.5154101003487934	0	0	2.549125514403292	2.831300101651328	SPTLC2
strophanthidin MCF7 DOWN	1/82	0.32933010848037486	0.5154101003487934	0	0	2.549125514403292	2.831300101651328	FBXO9
paclitaxel PC3 DOWN	3/417	0.3294540057495416	0.5154101003487934	0	0	1.5023897625655258	1.668131181836218	ANP32A;RAD21;TSN
metformin CTD 00006282	1/83	0.3325962432882966	0.5177918787556436	0	0	2.517911585365854	2.771782557180124	TFAM
SB 218078 RBC	1/83	0.3325962432882966	0.5177918787556436	0	0	2.517911585365854	2.771782557180124	TLK2
Vorinostat BOSS	1/83	0.3325962432882966	0.5177918787556436	0	0	2.517911585365854	2.771782557180124	SMC3
Rubidomycin hydrochloride	1/85	0.33908135963249797	0.5261796503035041	0	0	2.4577132936507935	2.658054287965015	RECQL
curcumin TTD 00007338	1/85	0.33908135963249797	0.5261796503035041	0	0	2.4577132936507935	2.658054287965015	YWHAB
GSK1059615 LINCS	1/86	0.34230049098939735	0.5267573291468624	0	0	2.4286764705882353	2.6037021954467265	EIF2AK4
adenine CTD 00005317	1/86	0.34230049098939735	0.5267573291468624	0	0	2.4286764705882353	2.6037021954467265	RFC1
Spectrum 001666 CTD 00000796	1/86	0.34230049098939735	0.5267573291468624	0	0	2.4286764705882353	2.6037021954467265	RAD50
nifedipine CTD 00006395	1/86	0.34230049098939735	0.5267573291468624	0	0	2.4286764705882353	2.6037021954467265	MYH10
topotecan CTD 00007293	2/250	0.3425408010575061	0.5267573291468624	0	0	1.6685059422750423	1.787578036594295	ANP32A;PLOD2
diclofenac CTD 00005804	3/427	0.34274929446052355	0.5267573291468624	0	0	1.4662033319951826	1.569946042824271	RAD50;YWHAB;EIF2AK4
SELENIUM CTD 00006731	9/1559	0.3436802469055052	0.5273429708518071	0	0	1.210975073313783	1.2933741388907456	PPP2R5E;ABHD2;SERBP1;RECQL;PDSS2;PLOD2;PRPF40A;OSBPL1A;ZKSCAN1
