k,mean_auc,std_auc
2,0.9371428571428572,0.04610940356918173
3,0.9196825396825397,0.04246854986207147
4,0.9219047619047618,0.03922144815614095
5,0.9238095238095237,0.04129425407367389
6,0.9199999999999999,0.04111815837128171
7,0.946031746031746,0.05031520699976875
8,0.9514285714285714,0.05669667072814177
9,0.9707936507936509,0.03338016362690773
10,0.9612698412698414,0.03827470951898806
11,0.9980952380952381,0.003809523809523796
12,0.9904761904761905,0.01904761904761902
13,0.9961904761904762,0.004665694748158418
14,0.9942857142857143,0.004665694748158418
15,0.9923809523809524,0.007126966450997959
16,0.9904761904761905,0.00602338601936832
17,0.9980952380952381,0.003809523809523796
18,0.9942857142857143,0.007619047619047592
19,0.9961904761904762,0.007619047619047594
20,0.9980952380952381,0.003809523809523796
21,0.9955555555555555,0.008888888888888858
22,0.9955555555555555,0.008888888888888858
23,0.9955555555555555,0.008888888888888858
24,0.9955555555555555,0.008888888888888858
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,0.9980952380952381,0.003809523809523796
32,0.9980952380952381,0.003809523809523796
33,0.9980952380952381,0.003809523809523796
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
43,1.0,0.0
44,1.0,0.0
45,1.0,0.0
46,1.0,0.0
47,1.0,0.0
48,1.0,0.0
49,1.0,0.0
50,1.0,0.0
51,0.9977777777777778,0.004444444444444429
52,0.9977777777777778,0.004444444444444429
53,0.9958730158730159,0.005079365079365061
54,0.9955555555555555,0.008888888888888858
55,0.9955555555555555,0.008888888888888858
56,0.9955555555555555,0.008888888888888858
57,0.9955555555555555,0.008888888888888858
58,0.9955555555555555,0.008888888888888858
59,0.9955555555555555,0.008888888888888858
60,0.9955555555555555,0.008888888888888858
61,0.9955555555555555,0.008888888888888858
62,0.9955555555555555,0.008888888888888858
63,0.9955555555555555,0.008888888888888858
64,0.9955555555555555,0.008888888888888858
