sig_id,drug,pert_id,similarity_scores
CPC010_VCAP_6H:BRD-K78385490-019-02-2:10,BRD-K78385490,BRD-K78385490-019-02-2,0.02
CPD001_PC3_24H:BRD-K32501161-300-05-4:10,vanoxerine,BRD-K32501161-300-05-4,0.02
CPC006_MCF7_6H:BRD-K47983010-001-02-1:10,BX-795,BRD-K47983010-001-02-1,0.02
CPC019_VCAP_6H:BRD-K34363599-001-02-0:10,RJC-00245SC,BRD-K34363599-001-02-0,0.02
CPC006_RMUGS_6H:BRD-K12502280-001-01-5:11.1,TG-101348,BRD-K12502280-001-01-5,0.02
LJP001_SKBR3_6H:BRD-K90382497-001-06-5:10,GW-843682X,BRD-K90382497-001-06-5,0.02
HOG001_A549_24H:BRD-K68202742-001-10-8:0.3704,trichostatin-a,BRD-K68202742-001-10-8,0.02
CPC011_VCAP_24H:BRD-K82036761-003-12-0:10,sertraline,BRD-K82036761-003-12-0,0.02
CPC008_HT29_6H:BRD-K43009525-001-02-7:10,BRD-K43009525,BRD-K43009525-001-02-7,0.02
CPC009_A375_6H:BRD-K39757396-001-01-5:10,BRD-K39757396,BRD-K39757396-001-01-5,0.02
CPC006_PC3_6H:BRD-K28360340-001-01-8:10,TW-37,BRD-K28360340-001-01-8,0.02
CPC006_H1299_6H:BRD-K43620258-001-01-6:80,CHEMBL-399379,BRD-K43620258-001-01-6,0.02
CPC007_MCF7_24H:BRD-A43126523-001-06-4:10,BRD-A43126523,BRD-A43126523-001-06-4,0.02
CPC008_VCAP_6H:BRD-A61599461-001-01-4:10,BRD-A61599461,BRD-A61599461-001-01-4,0.02
CPC006_VCAP_6H:BRD-K73395020-001-01-5:10,SA-1478088,BRD-K73395020-001-01-5,0.02
NMH002_NPC_6H:BRD-K91509126-001-19-4:10,piceatannol,BRD-K91509126-001-19-4,0.02
CPC008_PC3_24H:BRD-K16940042-001-01-2:10,BRD-K16940042,BRD-K16940042-001-01-2,0.02
CPC008_A375_6H:BRD-K69097969-001-03-2:10,VU-0418939-2,BRD-K69097969-001-03-2,0.02
CPC003_PC3_24H:BRD-K95435023-001-01-0:10,PHA-665752,BRD-K95435023-001-01-0,0.02
CPC006_PC3_24H:BRD-A13084692-001-04-1:10,troglitazone,BRD-A13084692-001-04-1,0.02
LJP001_HS578T_6H:BRD-K79090631-001-18-1:0.08,CGP-60474,BRD-K79090631-001-18-1,0.02
CPC018_SKB_24H:BRD-K63606607-001-01-8:10,bufalin,BRD-K63606607-001-01-8,0.02
CPC014_MCF7_6H:BRD-K81528515-001-03-9:10,nilotinib,BRD-K81528515-001-03-9,0.02
CPC009_MCF7_24H:BRD-K53732802-019-01-9:10,VU-0365118-1,BRD-K53732802-019-01-9,0.02
CPC010_PC3_6H:BRD-K85051645-019-03-3:10,BRD-K85051645,BRD-K85051645-019-03-3,0.02
CPC002_PC3_24H:BRD-K08547377-003-03-2:10,irinotecan,BRD-K08547377-003-03-2,0.02
CPC014_MCF7_6H:BRD-K51998148-001-01-9:10,BRD-K51998148,BRD-K51998148-001-01-9,0.02
CPC010_HT29_6H:BRD-K59962020-001-10-1:10,CHEMBL-374350,BRD-K59962020-001-10-1,0.02
CPC009_HT29_6H:BRD-K26304855-001-01-5:10,BRD-K26304855,BRD-K26304855-001-01-5,0.02
CPC016_A375_6H:BRD-A11678676-001-03-4:10,wortmannin,BRD-A11678676-001-03-4,0.02
CPC014_PC3_24H:BRD-K88569143-001-01-0:10,BRD-K88569143,BRD-K88569143-001-01-0,0.02
CPC019_PC3_24H:BRD-K84874839-001-06-6:10,BRD-K84874839,BRD-K84874839-001-06-6,0.02
CPC008_HEPG2_6H:BRD-K24156250-001-06-1:10,BRD-K24156250,BRD-K24156250-001-06-1,0.02
CPC002_PC3_24H:BRD-K37270826-001-03-7:10,mifepristone,BRD-K37270826-001-03-7,0.02
CPC007_PC3_24H:BRD-K83194053-001-07-7:10,BRD-K83194053,BRD-K83194053-001-07-7,0.02
CPC017_A375_6H:BRD-K08502430-001-01-0:10,angiogenesis-inhibitor,BRD-K08502430-001-01-0,0.02
CPC016_MCF7_6H:BRD-A33833419-003-01-1:10,TER-14687,BRD-A33833419-003-01-1,0.02
CPC002_PC3_6H:BRD-K22010301-001-01-2:10,JLK-6,BRD-K22010301-001-01-2,0.02
CPC010_VCAP_6H:BRD-K51350053-048-10-8:10,toremifene,BRD-K51350053-048-10-8,0.02
LJP001_HS578T_24H:BRD-K72636697-001-01-5:10,QL-X-138,BRD-K72636697-001-01-5,0.02
CPC015_A375_6H:BRD-K29458283-001-17-4:10,chlorambucil,BRD-K29458283-001-17-4,0.02
CPC004_PC3_6H:BRD-K43389675-001-01-3:10,daunorubicin,BRD-K43389675-001-01-3,0.02
CPC006_MCF7_24H:BRD-K93176058-001-02-8:10,AC-55649,BRD-K93176058-001-02-8,0.02
CPC012_A549_6H:BRD-K10573841-001-01-0:10,tunicamycin,BRD-K10573841-001-01-0,0.02
