k,n_features,mean_auc,std_auc
2,2,0.8990476190476191,0.10935390548119862
3,3,0.8990476190476191,0.10935390548119862
4,4,0.8990476190476191,0.10935390548119862
5,5,0.9196825396825398,0.07866100393418897
6,6,0.9330158730158731,0.06464352704106885
7,7,0.9476190476190476,0.047236559114808556
